,CurriculumType,ID,Code,Title,Status,Responsible Organisational Entity,Assessment items,Availabilities,Broad Field of Education,Contact hours,Content,Corequisites,CurriculumUnique,CurriculumComplementary,CurriculumCore,CurriculumOption,Delivery locations,Detailed Field of Education,Enrolled credit points,First year of offer,Incompatibilities,Level,Narrow Field of Education,Offering status,Outcomes,Prerequisites,Teaching responsibilities,Undergraduate degree,Ungraded pass/fail exemption category,Unit type,Achievable credit points,Advisable prior study,Area of Knowledge (for broadening),Board Of Studies,Categorisation of Research Traning,Change summary,Co-taught units (other units with which this unit shares teaching activities),Consultations for accreditation purposes,Corresponding Year 12 subject,Curriculum,Experiential Learning,Type of experiential learning,Is experiential learning component?,Is experiential learning compulsory?,Description of experiential learning,Outcomes of experiential learning,Hours of student placement,Describe how both cohorts of students achieve the learning outcomes of the unit irrespective of the experiential learning component,ExperientialLearningPlacementFaculty,Incidental fees,Notes (published in handbook),Supplementary assessment statement,Supplementary assessment statement.1,Textbooks,Unit has Work Integrated Learning component,"Yes, SELT evaluation are applicable to this unit.","Yes, this Field of Education has Clinical component","Yes, this unit is co-taught with other units"
111,Unit,2603,CIVL5501,Structural Dynamics,Active,Engineering,Indicative assessments in this unit are as follows: (1) assignments (40%); (2) quizzes (40%); and (3) presentation (20%). Further information is available in the unit outline.,"Semester 2 2022, Crawley (Face to face); Semester 2 2022, Crawley (Online-TT) [Contact hours: n/a];",03 - Engineering And Related Technologies,lectures: 39 hours; practical classes: 26 hours,"The objective of this unit is to provide an introduction to dynamic structural response analysis of single degree of freedom (SDOF) and multiple degree of freedom (MDOF) structures to earthquake, blast, wave and man-made dynamic loads. Topics include the free-vibration analysis; vibration frequency and mode shape; damping of structures; harmonic, periodic and arbitrary dynamic loads; estimation of blast, earthquake, wave and man-made dynamic loads on structures; design of structures against these dynamic loads; discussions of the Australian Seismic Loading Code (AS1170.4 2007); discussions on blast-resistant design according to TM5-1300, P-I curve, and man-made (traffic, blasting, soil compacting and pile-driving) ground vibrations and their effects on structures. Students are expected to develop the ability to apply knowledge of fundamental theory of structural dynamics to dynamic structural response analysis and design; achieve technical competence and practical skills in structural dynamics; and undertake problem identification, formulation and solution.",Nil.,No course data stored for this unit.,No course data stored for this unit.,No course data stored for this unit.,"MJD-ECIVL Civil Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|) as option [Active]; 
61550 Master of Professional Engineering as option in Civil Engineering [Active]; 
62550 Master of Professional Engineering as option in Civil Engineering [Active]; 
62570 Master of Offshore and Coastal Engineering (coursework) as option [Active]; 
",,030903 - Structural Engineering,,2013,Nil.,5,0309 - Civil Engineering,Available or will be available in future,"Students are able to (1) work effectively in teams [assessed by: assignments; presentation]; (2) communicate effectively in written technical reports [assessed by: assignments]; (3) communicate effectively in an oral presentation [assessed by: assignments; presentation]; (4) discuss the evolution of the discipline including its history, philosophy and theorising (theories, analysis and evolution of design practice) [assessed by: assignments]; (5) apply creative thinking and approaches [assessed by: assignments; quizzes]; (6) discuss new developments in the discipline, carry out independent search and evaluate relevant information [assessed by: assignments]; (7) demonstrate critical thinking and information literacy [assessed by: assignments; presentation]; (8) utilise skills in problem identification, formulation and solution [assessed by: assignments; quizzes]; (9) idealise a real structure to a SDOF or a MDOF system [assessed by: assignments; quizzes]; (10) determine the vibration frequencies, mode shapes and damping, and perform modal decomposition and superposition analysis [assessed by: assignments; quizzes]; (11) solve dynamic structural response to harmonic, impulsive and arbitrary loads [assessed by: assignments; quizzes]; (12) design isolation systems to mitigate vibrations [assessed by: assignments]; (13) estimate blast, earthquake and wave loads [assessed by: assignments; quizzes]; and (14) analyse and design structures to resist blast and earthquake loads [assessed by: assignments; quizzes].",enrolment in the Master of Professional Engineering (MPE) (Civil Engineering specialisation),,BA,,Unit in major(s) and postgraduate courses,,,,,,,,,,"MJD-ECIVL Civil Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|) as option [Active]; 
61550 Master of Professional Engineering as option in Civil Engineering [Active]; 
62550 Master of Professional Engineering as option in Civil Engineering [Active]; 
62570 Master of Offshore and Coastal Engineering (coursework) as option [Active]; 
",,,,,,,,,,,,,,,,,,
112,Unit,2604,CIVL5502,Transportation Engineering,Active,Engineering,Indicative assessments in this unit are as follows: (1) group assignment (30%); (2) mid-semester test (20%); and (3) final examination (50%). Further information is available in the unit outline.,Not available 2022;,03 - Engineering And Related Technologies,lectures: 24 hours; practical classes: 24 hours,"This unit is designed to develop students' knowledge in road transportation engineering and studies (e.g. road transportation and the societies, geometric design of roads, fundamentals of traffic flow and queuing theory, road capacity and level of service analysis, traffic control and analysis at signalised intersections, travel demand and traffic forecasting, and economic evaluation of road projects). Students who pass the unit have opportunities to work in transport planning, traffic engineering and road design. The objective of the unit is to develop an understanding of the composition and behaviour of traffic, its demands on the road system and project evaluation, and a working knowledge of the functional design of highways. On completion of the unit, students are able to apply knowledge of highway engineering, traffic analysis, design of signalised intersections and road project evaluation. The topics include (1) introduction to road transport; (2) fundamentals of traffic flow and queuing theory; (3) traffic control and analysis at signalised intersections; (4) road capacity and level of service analysis; (5) travel demand and traffic forecasting  (6) geometric design of roads.",Nil.,No course data stored for this unit.,No course data stored for this unit.,,"61550 Master of Professional Engineering as option in Civil Engineering [Active]; 
62550 Master of Professional Engineering as option in Civil Engineering [Active but approved to be removed from 2023]; 
",,030909 - Transport Engineering,,2013,CIVL4180 Transportation Engineering,5,0309 - Civil Engineering,Available or will be available in future,"Students are able to (1) write a sound technical report in the context of transport studies [assessed by: group assignment]; (2) demonstrate critical thinking and problem-solving skills [assessed by: group assignment; mid-semester test; final examination]; (3) utilise information literacy skills [assessed by: group assignment]; (4) critically discuss the role that road transport plays in modern societies with respect to its contribution to improvement of accessibility and mobility, economic growth, greenhouse emissions and road-related fatalities and injuries [assessed by: group assignment;final examination]; (5) carry out preliminary design of road geometry  [assessed by: mid-semester test; final examination]; (6) conduct performance evaluation of road segments with respect to level of service [assessed by: group assignment; final examination]; (7) design signalised intersections and evaluate the corresponding level of service [assessed by: group assignment; mid-semester test; final examination]; and (8) describe the principles/theories for carrying out traffic forecasts [assessed by: group assignment; mid-semester test; final examination].",enrolment in the Master of Professional Engineering (Civil Engineering specialisation); for pre-2012 courses: none,,BA,,Unit in postgraduate courses,,,,,,,,,,"61550 Master of Professional Engineering as option in Civil Engineering [Active]; 
62550 Master of Professional Engineering as option in Civil Engineering [Active but approved to be removed from 2023]; 
",,,,,,,,,,,,,,,,,,
113,Unit,2605,CIVL5503,Underground Construction,Active,Engineering,Indicative assessments in this unit are as follows: (1) assignments (42%); (2) quizzes (11%); and (3) final examination (47%). Further information is available in the unit outline.,"Semester 1 2022, Crawley (Online-TT);",03 - Engineering And Related Technologies,49 hours,"This unit provides students with practical tools necessary for the design of deep and shallow foundations, basements and tunnels. Numerous case history examples are used to illustrate a wide variety of construction procedures and how they impact and shape the geotechnical design process. Particular emphasis is placed on the use of simple design approaches employing appropriate soil parameters. Students are exposed to typical commercial software used in geotechnical design. The topics covered in the unit include soil parameter selection, basement design, footing and raft design, pile and piled raft design, reinforced embankment design and tunnel design.",Nil.,No course data stored for this unit.,No course data stored for this unit.,No course data stored for this unit.,"MJD-ECIVL Civil Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|) as option [Active]; 
61550 Master of Professional Engineering as option in Civil Engineering [Active]; 
62550 Master of Professional Engineering as option in Civil Engineering [Active]; 
",,030901 - Construction Engineering,,2013,Nil.,5,0309 - Civil Engineering,Available or will be available in future,"Students are able to (1) utilise improved interpersonal skills for working in groups [assessed by: in-class assessment, design assignments]; (2) proficiently prepare a design report [assessed by: in-class assessment, design assignments]; (3) discuss limitations of current practice and how improvements can be made [assessed by: in-class assessment, design assignments,]; (4) explain how research benefits everyday design practice [assessed by: in-class assessment, design assignments]; (5) apply soil mechanics principles to the design of geotechnical engineering structures such as basements, shallow foundations, piled foundations and tunnels [assessed by: in-class assessment, design assignments, final examination]; (6) describe how construction-related issues impact geotechnical designs [assessed by: in-class assessment, design assignments, final examination]; (7) proficiently use common soil-structure interaction software [assessed by: in-class assessment, design assignments, final examination]; (8) discuss accuracy requirements and limitations [assessed by: in-class assessment, design assignments, final examination]; and (9) apply sensitivity studies in design [assessed by: in-class assessment, design assignments, , final examination].",enrolment in the Master of Professional Engineering (Civil Engineering specialisation) and CIVL4401 Applied Geomechanics,,BA,,Unit in major(s) and postgraduate courses,,,,,,,,,,"MJD-ECIVL Civil Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|) as option [Active]; 
61550 Master of Professional Engineering as option in Civil Engineering [Active]; 
62550 Master of Professional Engineering as option in Civil Engineering [Active]; 
",,,,,,,,,,,,,,,,,,
114,Unit,4712,CIVL5504,Offshore Geomechanics,Active,Engineering,Indicative assessments in this unit are as follows: (1) quizzes (15%); (2) assignments (45%); and (3) a final examination (40%). Further information is available in the unit outline.,Not available 2022;,03 - Engineering And Related Technologies,56 hours,"This unit covers the geotechnical engineering knowledge required to support the design, installation and maintenance of renewable energy and oil and gas developments. It covers the geological setting and geotechnical properties of seabed sediments in regions of offshore energy generation;
geohazards in offshore environments; offshore site investigation techniques and methods of sediment characterisation; considerations and analytical techniques for the design of shallow and deep foundations, and anchoring systems and cables/pipelines.",Nil.,No course data stored for this unit.,No course data stored for this unit.,,"MJD-ECIVL Civil Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|) as option [Active]; 
61550 Master of Professional Engineering as option in Civil Engineering [Active]; 
62550 Master of Professional Engineering as option in Civil Engineering [Active]; 
62570 Master of Offshore and Coastal Engineering (coursework) as option [Active]; 
",,030913 - Ocean Engineering,,2014,Nil.,5,0309 - Civil Engineering,Available or will be available in future,"Students are able to (1) describe typical seabed conditions in an Australian and global context [assessed by: quizzes; assignments]; (2) demonstrate an appreciation of geohazards associated with engineering in an offshore environment [assessed by: quizzes; assignments; final examination]; (3) describe the form and function of the range of site investigation equipment, foundation and anchoring systems for offshore facilities and ancillary subsea structures [assessed by: quizzes; assignments  final examination]; (4) apply analysis techniques for site investigation interpretation, the design of a range of foundation and anchoring systems for offshore facilities and ancillary subsea structures [assessed by:  assignments ; final examination]; and (5) carry out engineering calculations correctly, write professional reports and make professional presentations [assessed by: assignments ; final examination].",enrolment in the Master of Professional Engineering (Civil Engineering specialisation) and CIVL4401 Applied Geomechanics,,BA,,Unit in major(s) and postgraduate courses,,,,,,,,,,"MJD-ECIVL Civil Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|) as option [Active]; 
61550 Master of Professional Engineering as option in Civil Engineering [Active]; 
62550 Master of Professional Engineering as option in Civil Engineering [Active]; 
62570 Master of Offshore and Coastal Engineering (coursework) as option [Active]; 
",,,,,,,,,,,,,,,,,,
115,Unit,4713,CIVL5505,Design of Offshore Energy Facilities,Active,Engineering,Indicative assessments in this unit are as follows: (1) in-class assessment (15%); (2) design assignments (25%); and (3) a final examination (60%). Further information is available in the unit outline.,"Semester 2 2022, Crawley (Face to face); Semester 2 2022, Crawley (Online-RE) [Contact hours: n/a];",03 - Engineering And Related Technologies,,"This unit provides an overview of the design of typical offshore energy facilities, such as oil and gas platforms, wind turbines, wave energy converters, floating solar, hydrogen, aquaculture, etc. The practical implementation involves commercial energy market context in Australia and world widely. The academic objectives of this unit are to understand metocean engineering, hydrodynamic analysis, fluid-structure interactions, design philosophy for offshore energy infrastructures.",Nil.,,No course data stored for this unit.,,"MJD-ECIVL Civil Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|) as option [Active]; 
61550 Master of Professional Engineering as option in Civil Engineering [Active]; 
61550 Master of Professional Engineering as option in Mechanical Engineering [Active]; 
62550 Master of Professional Engineering as option in Civil Engineering [Active]; 
62550 Master of Professional Engineering as option in Mechanical Engineering [Active]; 
62520 Master of Engineering in Oil and Gas (coursework) as option [Active]; 
62540 Master of Ocean Leadership (coursework) as option [Active]; 
",,030913 - Ocean Engineering,,2014,Nil.,5,0309 - Civil Engineering,Available or will be available in future,"Students are able to (1) describe various types of offshore energy facilities [assessed by: in-class assessment; final examination]; (2) analyse metocean data and calculate wave, wind, current loads on offshore structures [assessed by: in-class assessment; design assignments; final examination]; (3) design structural members [assessed by: design assignments; final examination]; (4) analyse and describe the main steps in fabrication and installation of offshore facilities [assessed by: design assignments; final examination]; (5) transform offshore technology to offshore renewables [assessed by: design assignments; final examination]; (6) design of floating systems including floater, mooring lines, risers [assessed by: design assignments; final examination]; and (7) demonstrate competence in the design of offshore energy facilities and professional report writing [assessed by: design assignments; final examination].",enrolment in the Master of Professional Engineering (Civil Engineering specialisation or Mechanical Engineering specialisation) or enrolment in the Master of Engineering in Oil and Gas. This unit is also available to students in the Master of Ocean Leadership with the approval of the Course Coordinator and completion of an undergraduate major in Engineering Science or equivalent.,,BA,,Unit in major(s) and postgraduate courses,,,,,,,,,,"MJD-ECIVL Civil Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|) as option [Active]; 
61550 Master of Professional Engineering as option in Civil Engineering [Active]; 
61550 Master of Professional Engineering as option in Mechanical Engineering [Active]; 
62550 Master of Professional Engineering as option in Civil Engineering [Active]; 
62550 Master of Professional Engineering as option in Mechanical Engineering [Active]; 
62520 Master of Engineering in Oil and Gas (coursework) as option [Active]; 
62540 Master of Ocean Leadership (coursework) as option [Active]; 
",,,,,,,,,,,,,,,,,,
116,Unit,7772,CIVL5506,Pavement Design,Active,Engineering,Indicative assessments in this unit are as follows: (1) online quizzes (20%); (2) group design project(s) (30%); and (3) individual design project (50%). Further information is available in the unit outline.,"Semester 1 2022, Crawley (Online-TT) [Contact hours: n/a]; Semester 1 2022, Crawley (Face to face);",,"5 hours per week (3 lectures, 1 practice session, 1 computer lab)","This unit provides students with the specialist tools and techniques to design pavements. Topics include pavement design methods with application to roads, industrial pavements, airport runways, and mine haul applications; drainage aspects of pavements including culverts and pipe and pit systems (major waterways are not included); and, preliminary geotechnical investigations. Students learn through project work.",Nil.,"No course data stored for this unit. When proposed, the intended courses for the unit were: Master of Professional Engineering (Civil Engineering)","No course data stored for this unit. When proposed, the intended courses for the unit were: Master of Professional Engineering (Civil Engineering)","No course data stored for this unit. When proposed, the intended courses for the unit were: Master of Professional Engineering (Civil Engineering)","62550 Master of Professional Engineering as option in Civil Engineering [Active but approved to be removed from 2023]; 
",,,,2021,Nil.,5,,Available or will be available in future,"Students are able to (1) explain the geotechnical aspects of subgrade analysis [assessed by: Online quizzes]; (2) describe pavement materials, specifications and performance characteristics [assessed by: Online quizzes]; (3) design both bound and unbound pavements for roads, industrial pavements, runways and mine haul roads [assessed by: Group design project(s)]; (4) analyse catchments to design simple culverts [assessed by: Online quizzes]; (5) design pipe and pit systems using basic principles of urban stormwater design [assessed by: Individual design project]; and (6) use software and spreadsheets in pavement design applications [assessed by: Individual design project; group design project(s)].",enrolment in the Master of Professional Engineering (Civil Engineering),,BA,,Unit in postgraduate courses,,,,,,,,,,"62550 Master of Professional Engineering as option in Civil Engineering [Active but approved to be removed from 2023]; 
",,,,,,,,,,,,,,,,,,
117,Unit,8067,CIVL5550,Civil Infrastructure Design Project,Active (not available for 2022),Engineering,Indicative assessments in this unit are as follows: (1) online quizzes (10%); (2) group presentation (15%); and (3) reports (75%). Further information is available in the unit outline.,First year of offer is 2023.,03 - Engineering And Related Technologies,lectures: 2 hours per week; practical classes: 2 hours per week,"The project is a capstone experience in which students integrate and apply knowledge and skills acquired in earlier units to a substantial real-world design challenge relevant to the civil infrastructure, such as pavement, transportation and drainage designs. Students work in teams, typically with four to six members, and are supervised by an academic and/or industry mentor. Teams are responsible for managing their project as well as reporting against milestones and preparing the necessary design documentation. The academic objectives of the project are to lead students through a systematic engineering design and synthesis process and to better prepare them for professional practice as engineers. The focus of the unit is the delivery of outcomes to a professional standard.",Nil,"No course data stored for this unit. When proposed, the intended courses for the unit were: BE(Hons): Civil Engineering major","No course data stored for this unit. When proposed, the intended courses for the unit were: BE(Hons): Civil Engineering major","No course data stored for this unit. When proposed, the intended courses for the unit were: BE(Hons): Civil Engineering major","MJD-ECIVL Civil Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|) as option [Active]; 
62550 Master of Professional Engineering as option in Civil Engineering [Active]; 
",,030900 - Civil Engineering,,2023,Nil,5,0309 - Civil Engineering,Unavailable for new enrolments but will be available in future years,"Students are able to (1) apply technical knowledge, engineering synthesis and design processes, appropriate tools and problem-solving skills relevant to civil engineering to achieve a desired outcome to satisfy user requirements 
 [assessed by: online quizzes; group presentation; and reports]; (2) seek out the requirements and associated resources to assess the scope, dimensions, scale of effort and indicative costs of a complex engineering project in civil infrastructure design [assessed by: reports]; (3) apply relevant standards, regulations, technical literature and safety requirements to a complex engineering project [assessed by: online quizzes; and reports]; (4) apply project management tools and processes to the planning and execution of a design project [assessed by: group presentations; and reports]; (5) demonstrate ethical conduct and professional accountability [assessed by: group presentations; and reports]; (6) communicate clearly, effectively and professionally using written, oral and visual means [assessed by: group presentations; and reports]; and (7) contribute to a complex engineering project activity, as a member and/or leader of an engineering team [assessed by: group presentations; and reports].",      CIVL3430 Transportation and Pavement Engineering (ID 8055)    and     Course Enrolment    (     BH011 Bachelor of Engineering (Honours) (ID 25)    or     CB006 Bachelor of Engineering (Honours)/ Bachelor of Commerce (ID 6)    or     CB004 Bachelor of Engineering (Honours)/ Bachelor of Science (ID 4)    ),,BE (Hons),,Unit in major(s) and postgraduate courses,,,,,,,,,,"MJD-ECIVL Civil Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|) as option [Active]; 
62550 Master of Professional Engineering as option in Civil Engineering [Active]; 
",,,,,,,,,,,,,,,,,,
118,Unit,2578,ELEC4401,Circuits and Electronic Systems,Active,Engineering,Indicative assessments in this unit are as follows: (1) assignments (20%); (2) laboratory and project (20%); and (3) quizzes and final examination (60%). Further information is available in the unit outline.,"Semester 1 2022, Crawley (Face to face); Semester 1 2022, Crawley (Online-TT) [Contact hours: n/a];",03 - Engineering And Related Technologies,lectures: 36 hours; practical classes: 22 hours; labs: 8 hours,This unit is concerned with the application of circuit theory and electromagnetic theory to the analysis and modelling of electronic circuits and systems. The modelling relies heavily on concepts from vector calculus. The key concepts are introduced before embarking on circuit theory and electromagnetic theory.,Nil.,,No course data stored for this unit.,"MJD-EELEC Electrical and Electronic Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|) as core [Active]; 
61550 Master of Professional Engineering as core in Electrical and Electronic Engineering [Active]; 
62550 Master of Professional Engineering as core in Electrical and Electronic Engineering [Active]; 
",No course data stored for this unit.,,031303 - Electronic Engineering,,2013,Nil.,4,0313 - Electrical and Electronic Engineering ,Available or will be available in future,"Students are able to (1) determine the validity of the assumptions necessary for the application of circuit theory to the analysis of electrical networks in specific instances [assessed by: quizzes; final examination]; (2) apply circuit theory to develop the two-port voltage—current characteristics of uniform distributed systems with small ports [assessed by: quizzes, laboratory assignment; final examination]; (3) analyse in the time and frequency domain networks that include distributed multiport networks [assessed by: quizzes; final examination]; (4) gain an understanding of the theory electromagnetic theory, its role in the modelling of electrical phenomena and its relationship to circuit theory and physical electronics theory [assessed by: quizzes; final examination]; and (5) apply Maxwell's equations and relevant boundary conditions to model simple electrical systems [assessed by: quizzes, laboratory assignment; final examination].",enrolment in the Master of Professional Engineering (Electrical and Electronic Engineering specialisation),,BA,,Unit in major(s) and postgraduate courses,,,,,,,,,,"MJD-EELEC Electrical and Electronic Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|) as core [Active]; 
61550 Master of Professional Engineering as core in Electrical and Electronic Engineering [Active]; 
62550 Master of Professional Engineering as core in Electrical and Electronic Engineering [Active]; 
",,,,,,,,,,,,,,,,,,
119,Unit,2579,ELEC4402,Communications Systems,Active,Engineering,Indicative assessments in this unit are as follows: (1) laboratory reports (30%); (2) class tests and assignment (30%); and (3) a final examination (40%). Further information is available in the unit outline.,"Semester 2 2022, Crawley (Online-TT) [Contact hours: n/a]; Semester 2 2022, Crawley (Face to face);",03 - Engineering And Related Technologies,lectures: 36 hours; practical classes: 12 hours; labs: 18 hours,"Students are introduced to communication systems in order to understand the fundamental aspects of both analogue and digital communications. This includes filtering, modulation and demodulation, source and channel coding, and information theory.",Nil.,,No course data stored for this unit.,"MJD-EELEC Electrical and Electronic Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|) as core [Active]; 
61550 Master of Professional Engineering as core in Electrical and Electronic Engineering [Active]; 
62550 Master of Professional Engineering as core in Electrical and Electronic Engineering [Active]; 
",No course data stored for this unit.,,031307 - Communications Technologies,,2013,Nil.,4,0313 - Electrical and Electronic Engineering ,Available or will be available in future,"Students are able to (1) apply filtering of random signals in the design of communication systems in the presence of random noise [assessed by: class tests, final examination]; (2) carry out noise analysis for analogue communication systems (in particular, for AM and DSB-SC signals) [assessed by: class tests, final examination]; (3) analyse and design digital communication systems over various channels (e.g. AWGN channel and ISI channel) [assessed by: class tests, assignment, final examination]; (4) analyse various analog modulation schemes in terms of system performance (i.e. SNR) versus system bandwidth and power requirements [assessed by: class tests, laboratory report, final examination]; (5) carry out performance analysis (e.g. probability of symbol error) of digital communication systems (in particular, for ASK, BPSK and FSK signals) [assessed by: class tests, laboratory report, assignment, final examination]; (6) apply the basics of information theory in digital communications, and explain the basics of source coding and channel coding using simple examples [assessed by: final examination]; and (7) work effectively in a team [assessed by: laboratory report].",enrolment in the Master of Professional Engineering (Electrical and Electronic Engineering specialisation),,BA,,Unit in major(s) and postgraduate courses,,,,,,,,,,"MJD-EELEC Electrical and Electronic Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|) as core [Active]; 
61550 Master of Professional Engineering as core in Electrical and Electronic Engineering [Active]; 
62550 Master of Professional Engineering as core in Electrical and Electronic Engineering [Active]; 
",,,,,,,,,,,,,,,,,,
120,Unit,2581,ELEC4404,Signal Processing,Active,Engineering,Indicative assessments in this unit are as follows: (1) laboratories (15%); (2) design project (20%); and (3) tests and a final examination (65%). Further information is available in the unit outline.,"Semester 1 2022, Crawley (Face to face); Semester 1 2022, Crawley (Online-TT) [Contact hours: n/a];",03 - Engineering And Related Technologies,lectures: 36 hours; practical classes: 12 hours; labs: 6 hours,"The topics covered in this unit include stochastic signal processing—single and joint distributions and random variables, random signals and properties, wide-sense stationary and power spectral density, white Gaussian noise and filtering; optimum and adaptive filters—optimum signal estimation (MMSE), Wiener filters, linear prediction, least-squares filtering, LMS and RLS adaptive filters, Kalman filters; signal models—AR, MA, ARMA; and spectrum estimation—non-parametric methods, parametric methods.",Nil.,No course data stored for this unit.,No course data stored for this unit.,"MJD-EELEC Electrical and Electronic Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|) as core [Active]; 
61550 Master of Professional Engineering as core in Electrical and Electronic Engineering [Active]; 
62550 Master of Professional Engineering as core in Electrical and Electronic Engineering [Active]; 
",No course data stored for this unit.,,031301 - Electrical Engineering,,2013,Nil.,4,0313 - Electrical and Electronic Engineering ,Available or will be available in future,"Students are able to (1) demonstrate professional engineering skills and abilities when working in teams [assessed by: group labs, group design project]; (2) apply random signal analysis to modelling and filtering [assessed by: test and examination, group labs]; (3) evaluate, design and apply optimum and adaptive filters to signals and engineering systems [assessed by: test and examination, group labs, group design project]; (4) analyse and evaluate signal modelling techniques for system identification [assessed by: test and examination, group labs, group design project]; and (5) evaluate and apply spectrum estimation methods to the spectral analysis of signals [assessed by: test and examination, group labs, group design project].","enrolment in the Master of Professional Engineering (Electrical and Electronic Engineering specialisation, Mechanical Engineering specialisation or Software Engineering specialisation)",,BA,,Unit in major(s) and postgraduate courses,,,,,,,,,,"MJD-EELEC Electrical and Electronic Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|) as core [Active]; 
61550 Master of Professional Engineering as core in Electrical and Electronic Engineering [Active]; 
62550 Master of Professional Engineering as core in Electrical and Electronic Engineering [Active]; 
",,,,,,,,,,,,,,,,,,
121,Unit,4702,ELEC5551,Electrical and Electronic Engineering Design Project 1,Active,Engineering,Indicative assessments in this unit are as follows: (1) reports (60%); (2) presentations (15%); and (3) professionalism (25%). Further information is available in the unit outline.,"Semester 1 2022, Crawley (Face to face); Semester 1 2022, Crawley (Online-TT) [Contact hours: n/a];",03 - Engineering And Related Technologies,,"The project is a capstone experience in which students integrate and apply knowledge and skills acquired in earlier units to a substantial real-world design challenge relevant to their discipline. Students work in teams, typically with four to six members, and are supervised by an academic and/or industry mentor. Teams are responsible for managing their project as well as reporting against milestones and preparing the necessary design documentation. The academic objectives of the project are to lead students through a systematic engineering design and synthesis process and to better prepare them for professional practice as engineers. The focus of the unit is on teamwork skills and the design process.",GENG5505 Project Management and Engineering Practice,No course data stored for this unit.,No course data stored for this unit.,"61550 Master of Professional Engineering as core in Electrical and Electronic Engineering [Active]; 
62550 Master of Professional Engineering as core in Electrical and Electronic Engineering [Active]; 
",,,031300 - Electrical and Electronic Engineerin,,2014,Nil.,5,0313 - Electrical and Electronic Engineering ,Available or will be available in future,"Students are able to (1) apply engineering synthesis and design processes relevant to electrical and electronic engineering [assessed by: reports; presentations; professionalism]; (2) seek out the requirements and associated resources to assess the scope, dimensions, scale of effort and indicative costs of a complex engineering project [assessed by: reports; presentations; professionalism]; (3) apply technical knowledge, appropriate tools and problem-solving skills to achieve a desired outcome to satisfy user requirements [assessed by: reports; presentations; professionalism]; (4) apply project management tools and processes to the planning and execution of a design project [assessed by: reports; professionalism]; (5) demonstrate ethical conduct and professional accountability [assessed by: reports; presentations; professionalism]; (6) critically analyse design inputs, processes and outputs [assessed by: reports; presentations; professionalism]; (7) locate and apply relevant standards, regulations, and technical literature [assessed by: reports; presentations; professionalism]; (8) use discourse conventions relevant to the discipline [assessed by: reports; presentations; professionalism]; (9) communicate clearly, effectively and appropriately using written, oral and visual means [assessed by: reports; presentations; professionalism]; and (10) contribute to and/or manage a complex engineering project activity, as a member and/or leader of an engineering team [assessed by: reports; presentations; professionalism].",completion of 24 points in the Master of Professional Engineering (Electrical and Electronic Engineering specialisation),,BA,,Unit in postgraduate courses,,,,,,,,,,"61550 Master of Professional Engineering as core in Electrical and Electronic Engineering [Active]; 
62550 Master of Professional Engineering as core in Electrical and Electronic Engineering [Active]; 
",,,,,,,,,,,,,,,,,,
